2023-03-29 22:13:41 INFO  Base:78 - Hello../
  2023-03-29 22:15:15 INFO  Base:30 - loginPageTitle: Online Bookstore | Buy Books Online | Read Books Online
  2023-03-29 22:31:28 INFO  Base:32 - loginPageTitle: Online BookStore India, Buy Books Online, Buy Book Online India - Bookswagon.com
  2023-03-29 22:37:53 INFO  Base:32 - loginPageTitle: Online BookStore India, Buy Books Online, Buy Book Online India - Bookswagon.com
  2023-03-29 22:40:43 INFO  Base:30 - loginPageTitle: Online Bookstore | Buy Books Online | Read Books Online
  2023-03-29 22:41:05 INFO  Base:36 - Proper login com.bw.qa.pages.HomePage@48528634
  2023-03-30 08:19:50 INFO  Base:32 - loginPageTitle: Online BookStore India, Buy Books Online, Buy Book Online India - Bookswagon.com
  2023-03-30 08:22:12 INFO  Base:30 - loginPageTitle: Online Bookstore | Buy Books Online | Read Books Online
  2023-03-30 08:22:22 INFO  Base:36 - Proper login com.bw.qa.pages.HomePage@18371d89
  2023-04-01 12:51:03 INFO  Base:30 - loginPageTitle: Online Bookstore | Buy Books Online | Read Books Online
  2023-04-01 12:51:19 INFO  Base:36 - Proper login com.bw.qa.pages.HomePage@68ab0936
  2023-04-03 19:22:56 INFO  Base:32 - loginPageTitle: Online BookStore India, Buy Books Online, Buy Book Online India - Bookswagon.com
  2023-04-03 19:41:50 INFO  Base:32 - loginPageTitle: Online BookStore India, Buy Books Online, Buy Book Online India - Bookswagon.com
  2023-04-03 19:49:29 INFO  Base:32 - loginPageTitle: Online BookStore India, Buy Books Online, Buy Book Online India - Bookswagon.com
  2023-04-03 19:51:40 INFO  Base:32 - loginPageTitle: Online BookStore India, Buy Books Online, Buy Book Online India - Bookswagon.com
  2023-04-03 19:54:44 INFO  Base:30 - loginPageTitle: Online Bookstore | Buy Books Online | Read Books Online
  2023-04-03 19:54:56 INFO  Base:36 - Proper login com.bw.qa.pages.HomePage@6b357eb6
  
